wave_rank,candidate_id,style_code,colour_code,model_name_candidate,priority_score,evidence_count,domain_count,source_urls_json
11,06495bb6-ab53-5aec-882f-62eba2bd4a98,J2333,297,geometric track jacket,67,2,2,"[""https://www.fredperry.com/geometric-track-jacket-j2333-297.html"", ""https://www.eqvvs.co.uk/products/fred-perry-geometric-track-jacket-297-anchor-grey-j2333""]"
12,d3a83143-87e9-5ca7-968f-83393cb76259,J2660,248,brentham jacket,67,2,2,"[""https://www.fredperry.com/brentham-jacket-j2660-248.html"", ""https://www.eqvvs.co.uk/products/fred-perry-brentham-jacket-248-navy-j2660""]"
13,a35deece-c203-5c1d-83a8-7f356ce52ca1,J2660,350,brentham jacket,67,2,2,"[""https://www.fredperry.com/brentham-jacket-j2660-350.html"", ""https://www.eqvvs.co.uk/products/fred-perry-brentham-jacket-350-black-j2660""]"
14,3025f5c2-83c0-51e2-b62d-cc575cff8583,J3330,M37,crinkle harrington jacket,67,2,2,"[""https://www.fredperry.com/crinkle-harrington-jacket-j3330-m37.html"", ""https://www.eqvvs.co.uk/products/fred-perry-regular-fit-crinkle-nylon-harrington-jacket-m37-seagrass-j3330""]"
15,16223aa8-0d80-5030-84c2-7f115790eca9,J4620,198,taped track jacket,67,2,2,"[""https://www.fredperry.com/taped-track-jacket-j4620-198.html"", ""https://www.eqvvs.co.uk/products/fred-perry-taped-track-top-198-black-j4620""]"
16,a7dbf486-42e8-5cc0-8796-08f2ea50a064,J4620,885,taped track jacket,67,2,2,"[""https://www.fredperry.com/taped-track-jacket-j4620-885.html"", ""https://www.eqvvs.co.uk/products/fred-perry-taped-track-top-885-carbon-blue-j4620""]"
17,11249be3-beb7-56ad-8432-0ac6b1fd15c1,J7536,198,hooded zip through sweatshirt,67,2,2,"[""https://www.fredperry.com/hooded-zip-through-sweatshirt-j7536-198.html"", ""https://www.eqvvs.co.uk/products/hooded-zip-through-sweatshirt-core-198-black-j7536""]"
18,2e67eb6d-175c-5b18-b092-c1134db12842,J7536,795,hooded zip through sweatshirt,67,2,2,"[""https://www.fredperry.com/hooded-zip-through-sweatshirt-j7536-795.html"", ""https://www.eqvvs.co.uk/products/hooded-zip-through-sweatshirt-core-795-navy-j7536""]"
19,eba2ad9c-db4b-5f74-ab2f-d54104694eac,J7536,87B,hooded zip through sweatshirt,67,2,2,"[""https://www.fredperry.com/hooded-zip-through-sweatshirt-j7536-87b.html"", ""https://www.eqvvs.co.uk/products/fred-perry-zip-through-hoodie-87b-laurel-wreath-green-ecru-dusky-blue-j7536""]"
20,094e66c8-848b-5c12-86a9-d5c22d95daae,J7536,94B,hooded zip through sweatshirt,67,2,2,"[""https://www.fredperry.com/hooded-zip-through-sweatshirt-j7536-94b.html"", ""https://www.eqvvs.co.uk/products/fred-perry-zip-through-hoodie-94b-ecru-dusky-blue-french-navy-j7536""]"
21,0e04f246-4376-5127-b010-b49019fb0620,K1317,184,argyle knitted shirt,67,2,2,"[""https://www.fredperry.com/argyle-knitted-shirt-k1317-184.html"", ""https://www.eqvvs.co.uk/products/fred-perry-argyle-knitted-shirt-184-ecru-k1317""]"
22,9c8d73f3-af8f-5adb-a74a-5248caec6ed6,K2328,644,geometric knitted shirt,67,2,2,"[""https://www.fredperry.com/geometric-knitted-shirt-k2328-644.html"", ""https://www.eqvvs.co.uk/products/fred-perry-geometric-knitted-shirt-644-dark-caramel-k2328""]"
